what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"2",1333850009244
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1333850009244
java.runtime.version,sysinfo,,,"1.6.0_31-b05",1333850009244
java.specification.name,sysinfo,,,"Java Platform API Specification",1333850009244
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1333850009244
java.specification.version,sysinfo,,,"1.6",1333850009244
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1333850009244
java.version,sysinfo,,,"1.6.0_31",1333850009244
java.vm.info,sysinfo,,,"mixed mode, sharing",1333850009244
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1333850009244
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1333850009244
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1333850009244
java.vm.specification.version,sysinfo,,,"1.0",1333850009244
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1333850009244
java.vm.version,sysinfo,,,"20.6-b01",1333850009244
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1333850009293
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1333850009612
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1333850010559
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1333850011082
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1333850011990
started,bundle,com.google.gdt.eclipse.designer,2.5.0.r37x201112291029,"com.google.gdt.eclipse.designer",1333850013888
started,bundle,com.google.gdt.eclipse.designer.hosted,2.5.0.r37x201112291019,"com.google.gdt.eclipse.designer.hosted",1333850014419
started,bundle,com.google.gdt.eclipse.appengine.rpc,2.5.2.v201203300216-rel-r37,"com.google.gdt.eclipse.appengine.rpc",1333850016645
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1333850017236
started,bundle,com.google.gdt.eclipse.designer.hosted.2_2,2.5.0.r37x201112291019,"com.google.gdt.eclipse.designer.hosted.2_2",1333850017655
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333850018110
started,bundle,com.google.gdt.eclipse.designer.hosted.lib,2.5.0.r37x201112291019,"com.google.gdt.eclipse.designer.hosted.lib",1333850018987
started,bundle,com.google.gdt.eclipse.designer.UiBinder,2.5.0.r37x201112291029,"com.google.gdt.eclipse.designer.UiBinder",1333850082227
started,bundle,com.google.gdt.eclipse.mobile.android,2.5.2.v201203300216-rel-r37,"com.google.gdt.eclipse.mobile.android",1333850082461
started,bundle,org.eclipse.mylyn.team.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.team.ui",1333850082616
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1333850083686
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1333850083722
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1333850083941
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1333850084240
